answer_id,session_id,user_id,part,question_id,question_text,answer_text,duration_sec,target_band_overall,target_band_fc,target_band_lr,target_band_gra,target_band_pr,transcript_raw,source_type,quality_flag
ans_011,sess_006,550e8400-e29b-41d4-a716-446655440005,1,q_part1_006,Do you prefer reading books or watching films?,"I actually enjoy both, but if I had to choose, I'd say I prefer reading books. There's something about the way literature allows you to create your own mental images and really immerse yourself in the narrative at your own pace. Films are great for visual storytelling, but books give you more depth and let you explore characters' inner thoughts in a way that cinema often can't capture.",28,8.0,8.0,8.0,8.0,7.5,"I actually enjoy both, but if I had to choose, I'd say I prefer reading books. There's something about the way literature allows you to create your own mental images and really immerse yourself in the narrative at your own pace. Films are great for visual storytelling, but books give you more depth and let you explore characters' inner thoughts in a way that cinema often can't capture.",synthetic,ok
ans_012,sess_006,550e8400-e29b-41d4-a716-446655440005,2,q_part2_004,Describe a skill you would like to learn.,"I'd really like to learn how to play the piano. I've always been fascinated by classical music, and I think being able to play an instrument would be incredibly rewarding. I imagine it would help me express emotions in a different way, and there's something meditative about practicing music. I've actually started looking into local music schools, but finding the time is challenging with my current schedule. Perhaps I'll start with online lessons to get the basics down.",48,8.5,8.5,9.0,8.5,8.5,"I'd really like to learn how to play the piano. I've always been fascinated by classical music, and I think being able to play an instrument would be incredibly rewarding. I imagine it would help me express emotions in a different way, and there's something meditative about practicing music. I've actually started looking into local music schools, but finding the time is challenging with my current schedule. Perhaps I'll start with online lessons to get the basics down.",synthetic,ok
ans_013,sess_006,550e8400-e29b-41d4-a716-446655440005,3,q_part3_003,Do you think it's better to learn skills through formal education or self-teaching?,"That's an interesting question. I think both approaches have their merits, and the best method really depends on the skill and the individual. Formal education provides structure, expert guidance, and often access to resources you might not have otherwise. However, self-teaching can be more flexible, cost-effective, and allows you to learn at your own pace. For technical skills like programming, I've found that a combination works best - formal courses for fundamentals, then self-directed projects for practical application. The key is having the discipline to stay motivated when you're learning independently.",52,7.0,7.0,7.5,7.0,7.5,"That's an interesting question. I think both approaches have their merits, and the best method really depends on the skill and the individual. Formal education provides structure, expert guidance, and often access to resources you might not have otherwise. However, self-teaching can be more flexible, cost-effective, and allows you to learn at your own pace. For technical skills like programming, I've found that a combination works best - formal courses for fundamentals, then self-directed projects for practical application. The key is having the discipline to stay motivated when you're learning independently.",synthetic,ok
ans_014,sess_007,550e8400-e29b-41d4-a716-446655440006,1,q_part1_007,What kind of music do you like?,I like pop music. And sometimes rock. My favorite singer is... um... Taylor Swift. I listen music every day when I go to work. It makes me happy.,22,6.0,6.5,6.5,6.0,6.0,I like pop music. And sometimes rock. My favorite singer is... um... Taylor Swift. I listen music every day when I go to work. It makes me happy.,synthetic,ok
ans_015,sess_007,550e8400-e29b-41d4-a716-446655440006,2,q_part2_005,Describe a book you have read recently.,I'd like to describe the first Harry Potter book which I read last month. The story follows a young wizard named Harry who discovers he has magical powers and goes to a school called Hogwarts. What I found most engaging was the way the author created such a vivid and imaginative world with interesting characters like Hermione and Ron. The book was quite long, over three hundred pages, but I finished it quickly because the plot was so exciting and I couldn't put it down. What made it memorable was how it combined adventure, friendship, and magic in a way that kept me reading late into the night. This experience reminded me why I love reading, and I'm definitely planning to read the next book in the series.,47,5.0,5.5,5.5,5.0,5.0,I'd like to describe the first Harry Potter book which I read last month. The story follows a young wizard named Harry who discovers he has magical powers and goes to a school called Hogwarts. What I found most engaging was the way the author created such a vivid and imaginative world with interesting characters like Hermione and Ron. The book was quite long, over three hundred pages, but I finished it quickly because the plot was so exciting and I couldn't put it down. What made it memorable was how it combined adventure, friendship, and magic in a way that kept me reading late into the night. This experience reminded me why I love reading, and I'm definitely planning to read the next book in the series.,synthetic,ok
ans_016,sess_007,550e8400-e29b-41d4-a716-446655440006,3,q_part3_004,Why do you think some people prefer e-books while others prefer printed books?,I think... people like e-books because it is convenient. You can carry many books in one device. But some people like paper books because... they like the feeling of paper. Maybe it is more traditional. I think both are good.,29,6.0,6.0,6.5,6.0,6.5,I think... people like e-books because it is convenient. You can carry many books in one device. But some people like paper books because... they like the feeling of paper. Maybe it is more traditional. I think both are good.,synthetic,ok
ans_017,sess_008,550e8400-e29b-41d4-a716-446655440007,1,q_part1_008,Are you a morning person or a night owl?,"I'm definitely more of a morning person. I find that I'm most productive in the early hours, around 6 or 7 AM. There's something peaceful about starting the day before everyone else is awake. I usually have my best ideas during morning walks or while having my first coffee. That said, I do appreciate the occasional late night when I'm working on something creative.",31,6.0,5.5,5.5,6.5,5.5,"I'm definitely more of a morning person. I find that I'm most productive in the early hours, around 6 or 7 AM. There's something peaceful about starting the day before everyone else is awake. I usually have my best ideas during morning walks or while having my first coffee. That said, I do appreciate the occasional late night when I'm working on something creative.",synthetic,ok
ans_018,sess_008,550e8400-e29b-41d4-a716-446655440007,2,q_part2_006,Describe a time when you had to make a difficult decision.,"A couple of years ago, I had to decide whether to accept a job offer in another city or stay in my current position. The new job offered better career prospects and a higher salary, but it meant leaving my family and friends behind. I spent weeks weighing the pros and cons, talking to mentors, and really thinking about what mattered most to me. In the end, I decided to take the opportunity, and while it was challenging at first, it turned out to be one of the best decisions I've made. It taught me a lot about taking calculated risks and trusting my instincts.",55,6.0,6.5,6.5,6.5,5.5,"A couple of years ago, I had to decide whether to accept a job offer in another city or stay in my current position. The new job offered better career prospects and a higher salary, but it meant leaving my family and friends behind. I spent weeks weighing the pros and cons, talking to mentors, and really thinking about what mattered most to me. In the end, I decided to take the opportunity, and while it was challenging at first, it turned out to be one of the best decisions I've made. It taught me a lot about taking calculated risks and trusting my instincts.",synthetic,ok
ans_019,sess_009,550e8400-e29b-41d4-a716-446655440001,1,q_part1_009,How do you usually spend your weekends?,"I try to balance relaxation with productivity. Saturday mornings I usually go for a run or hit the gym, then I might meet friends for brunch. In the afternoons, I often catch up on reading or work on personal projects. Sundays are more laid-back - I might do some cooking, watch a film, or just unwind. I find it important to have that downtime to recharge for the week ahead.",33,7.0,7.0,7.0,7.5,7.0,"I try to balance relaxation with productivity. Saturday mornings I usually go for a run or hit the gym, then I might meet friends for brunch. In the afternoons, I often catch up on reading or work on personal projects. Sundays are more laid-back - I might do some cooking, watch a film, or just unwind. I find it important to have that downtime to recharge for the week ahead.",synthetic,ok
ans_020,sess_010,550e8400-e29b-41d4-a716-446655440003,3,q_part3_005,What are the advantages and disadvantages of working from home?,"Working from home has become quite common, and there are definitely both benefits and drawbacks. On the positive side, you save time on commuting, have more flexibility in your schedule, and can create a comfortable work environment. However, it can be isolating, and some people struggle with maintaining boundaries between work and personal life. I think the key is finding the right balance - perhaps a hybrid model where you work from home a few days a week but still maintain face-to-face connections with colleagues.",44,6.0,6.0,5.5,6.0,6.0,"Working from home has become quite common, and there are definitely both benefits and drawbacks. On the positive side, you save time on commuting, have more flexibility in your schedule, and can create a comfortable work environment. However, it can be isolating, and some people struggle with maintaining boundaries between work and personal life. I think the key is finding the right balance - perhaps a hybrid model where you work from home a few days a week but still maintain face-to-face connections with colleagues.",synthetic,ok
ans_021,sess_011,550e8400-e29b-41d4-a716-446655440008,1,q_part1_010,Do you work or study?,i... um... i study... university... computer science... is difficult but i like,11,4.5,4.5,4.5,4.5,4.0,i... um... i study... university... computer science... is difficult but i like,synthetic,ok
ans_022,sess_011,550e8400-e29b-41d4-a716-446655440008,1,q_part1_011,Where are you from?,i from... moscow... big city... many people... i like moscow,9,4.5,4.5,4.5,4.0,4.5,i from... moscow... big city... many people... i like moscow,synthetic,ok
ans_023,sess_012,550e8400-e29b-41d4-a716-446655440009,1,q_part1_012,What do you like to do in your free time?,um... i like... i like reading books... sometimes... watching movies... and... go to gym... you know... for exercise,16,5.5,6.0,6.0,5.5,5.0,um... i like... i like reading books... sometimes... watching movies... and... go to gym... you know... for exercise,synthetic,ok
ans_024,sess_012,550e8400-e29b-41d4-a716-446655440009,1,q_part1_013,Do you enjoy cooking?,yes i like cooking... um... i cook... on weekends... i make pasta... and... sometimes... pizza... it's fun,14,5.5,5.5,5.0,5.5,5.5,yes i like cooking... um... i cook... on weekends... i make pasta... and... sometimes... pizza... it's fun,synthetic,ok
ans_025,sess_013,550e8400-e29b-41d4-a716-446655440010,1,q_part1_014,How do you usually spend your weekends?,well i usually... um... wake up late on saturday... then i go shopping or meet friends... sunday is more quiet... i stay home and watch netflix... you know... just relax,19,6.0,5.5,6.5,5.5,5.5,well i usually... um... wake up late on saturday... then i go shopping or meet friends... sunday is more quiet... i stay home and watch netflix... you know... just relax,synthetic,ok
ans_026,sess_013,550e8400-e29b-41d4-a716-446655440010,1,q_part1_015,Are you a morning person or a night owl?,i'm definitely... uh... night owl... i stay up late... like... until 2 am... morning is... not my time... i feel better in evening,17,6.0,6.0,6.5,6.0,6.0,i'm definitely... uh... night owl... i stay up late... like... until 2 am... morning is... not my time... i feel better in evening,synthetic,ok
ans_027,sess_014,550e8400-e29b-41d4-a716-446655440011,1,q_part1_016,What kind of music do you like?,i enjoy various genres actually... mostly indie rock and jazz... i find that music helps me focus when i'm working... and i also love going to live concerts whenever possible,21,8.0,8.5,8.0,8.5,8.0,i enjoy various genres actually... mostly indie rock and jazz... i find that music helps me focus when i'm working... and i also love going to live concerts whenever possible,synthetic,ok
ans_028,sess_014,550e8400-e29b-41d4-a716-446655440011,1,q_part1_017,Do you prefer reading books or watching films?,that's a tough one... i think i prefer films because they're more visual and engaging... but books give you more depth... so it depends on my mood really,18,7.0,7.0,7.5,7.0,7.5,that's a tough one... i think i prefer films because they're more visual and engaging... but books give you more depth... so it depends on my mood really,synthetic,ok
ans_029,sess_015,550e8400-e29b-41d4-a716-446655440012,1,q_part1_018,Where do you live?,i live... in... apartment... center of city... is small but... nice... near metro station... convenient,12,4.0,4.0,4.0,4.0,3.5,i live... in... apartment... center of city... is small but... nice... near metro station... convenient,synthetic,garbage
ans_030,sess_015,550e8400-e29b-41d4-a716-446655440012,1,q_part1_019,Do you work or study?,i work... as... teacher... english teacher... i teach... children... it's... interesting job... i like children,13,4.0,4.0,3.5,3.5,3.5,i work... as... teacher... english teacher... i teach... children... it's... interesting job... i like children,synthetic,garbage
ans_031,sess_016,550e8400-e29b-41d4-a716-446655440013,1,q_part1_020,What's your favorite food?,oh i love italian food... especially pasta and pizza... i also enjoy trying new cuisines... recently i tried thai food and it was amazing... spicy but delicious,20,6.0,6.0,6.0,6.0,6.5,oh i love italian food... especially pasta and pizza... i also enjoy trying new cuisines... recently i tried thai food and it was amazing... spicy but delicious,synthetic,ok
ans_032,sess_016,550e8400-e29b-41d4-a716-446655440013,1,q_part1_021,How often do you exercise?,i try to go to the gym... um... three times a week... but sometimes... you know... i'm too busy... so maybe twice... it depends on my schedule,17,6.5,7.0,7.0,7.0,6.5,i try to go to the gym... um... three times a week... but sometimes... you know... i'm too busy... so maybe twice... it depends on my schedule,synthetic,ok
ans_033,sess_017,550e8400-e29b-41d4-a716-446655440014,1,q_part1_022,What is your full name?,my name... is... ivan... ivan petrov... that's all,7,3.0,3.0,3.5,3.0,3.0,my name... is... ivan... ivan petrov... that's all,synthetic,garbage
ans_034,sess_017,550e8400-e29b-41d4-a716-446655440014,1,q_part1_023,Do you work or study?,i study... university... first year... engineering... very hard... many... homework,10,4.0,4.0,3.5,3.5,3.5,i study... university... first year... engineering... very hard... many... homework,synthetic,garbage
ans_035,sess_018,550e8400-e29b-41d4-a716-446655440015,1,q_part1_024,What do you like about your hometown?,well my hometown is quite charming actually... it has a rich cultural heritage and beautiful architecture... the people are friendly and there's always something happening... festivals concerts... it's never boring,24,7.5,7.5,7.5,7.0,7.5,well my hometown is quite charming actually... it has a rich cultural heritage and beautiful architecture... the people are friendly and there's always something happening... festivals concerts... it's never boring,synthetic,ok
ans_036,sess_018,550e8400-e29b-41d4-a716-446655440015,1,q_part1_025,Do you enjoy traveling?,absolutely... traveling is one of my greatest passions... i've been to over twenty countries and each trip teaches me something new... it broadens your perspective and helps you understand different cultures,22,7.5,8.0,7.5,7.5,8.0,absolutely... traveling is one of my greatest passions... i've been to over twenty countries and each trip teaches me something new... it broadens your perspective and helps you understand different cultures,synthetic,ok
ans_037,sess_019,550e8400-e29b-41d4-a716-446655440016,1,q_part1_026,What's your favorite season?,i like... summer... because... warm weather... i can go... to beach... swimming... and... have barbecue... with friends,15,5.5,5.0,5.0,5.0,6.0,i like... summer... because... warm weather... i can go... to beach... swimming... and... have barbecue... with friends,synthetic,ok
ans_038,sess_019,550e8400-e29b-41d4-a716-446655440016,1,q_part1_027,How do you get to work or school?,i take... metro... every day... it's... fast... and... cheap... sometimes... if weather good... i walk... it's... healthy,16,5.5,5.5,5.5,5.0,5.0,i take... metro... every day... it's... fast... and... cheap... sometimes... if weather good... i walk... it's... healthy,synthetic,ok
ans_039,sess_020,550e8400-e29b-41d4-a716-446655440017,1,q_part1_028,Do you have any hobbies?,yes i do... um... i like photography... i take pictures... of nature... and... city... also i play... guitar... sometimes... it's relaxing,18,6.0,5.5,6.5,6.5,6.0,yes i do... um... i like photography... i take pictures... of nature... and... city... also i play... guitar... sometimes... it's relaxing,synthetic,ok
ans_040,sess_020,550e8400-e29b-41d4-a716-446655440017,1,q_part1_029,What kind of books do you read?,i read... different books... fiction... and... non-fiction... i like... mystery novels... and... history books... they are... interesting,17,5.0,5.0,5.5,5.0,5.0,i read... different books... fiction... and... non-fiction... i like... mystery novels... and... history books... they are... interesting,synthetic,ok
ans_041,sess_021,550e8400-e29b-41d4-a716-446655440018,1,q_part1_030,How do you relax after a long day?,well i usually unwind by listening to music or reading... sometimes i'll take a long bath... or just sit outside and enjoy the quiet... it really depends on how stressful the day was... but music is always my go-to,23,8.0,8.5,8.0,8.5,8.0,well i usually unwind by listening to music or reading... sometimes i'll take a long bath... or just sit outside and enjoy the quiet... it really depends on how stressful the day was... but music is always my go-to,synthetic,ok
ans_042,sess_021,550e8400-e29b-41d4-a716-446655440018,1,q_part1_031,Do you prefer city life or country life?,that's an interesting question... i think i prefer city life because of the opportunities and convenience... but i do appreciate the peace and quiet of the countryside... ideally i'd like a balance... maybe live in the city but escape to nature on weekends,26,7.0,7.0,7.0,6.5,7.0,that's an interesting question... i think i prefer city life because of the opportunities and convenience... but i do appreciate the peace and quiet of the countryside... ideally i'd like a balance... maybe live in the city but escape to nature on weekends,synthetic,ok
ans_043,sess_022,550e8400-e29b-41d4-a716-446655440019,1,q_part1_032,What do you do on weekends?,weekends... i... sleep... late... then... maybe... go shopping... or... watch tv... sometimes... meet friends... for coffee,14,5.0,5.0,4.5,4.5,4.5,weekends... i... sleep... late... then... maybe... go shopping... or... watch tv... sometimes... meet friends... for coffee,synthetic,ok
ans_044,sess_022,550e8400-e29b-41d4-a716-446655440019,1,q_part1_033,Do you like your job?,yes... i like... my job... i work... in office... as... accountant... is... ok... but... sometimes... boring,13,4.0,4.0,3.5,3.5,4.5,yes... i like... my job... i work... in office... as... accountant... is... ok... but... sometimes... boring,synthetic,garbage
ans_045,sess_023,550e8400-e29b-41d4-a716-446655440020,1,q_part1_034,How long have you been studying English?,i've been studying english for... um... about five years now... started in high school... and continued at university... it's challenging but i'm making progress,19,6.5,6.5,7.0,6.0,6.0,i've been studying english for... um... about five years now... started in high school... and continued at university... it's challenging but i'm making progress,synthetic,ok
ans_046,sess_023,550e8400-e29b-41d4-a716-446655440020,1,q_part1_035,What's the weather like in your country?,well it depends on the region... in my area we have... uh... four distinct seasons... summers are warm... winters can be quite cold... spring and autumn are pleasant... moderate temperatures,21,6.5,6.5,6.5,6.5,6.5,well it depends on the region... in my area we have... uh... four distinct seasons... summers are warm... winters can be quite cold... spring and autumn are pleasant... moderate temperatures,synthetic,ok
ans_047,sess_024,550e8400-e29b-41d4-a716-446655440021,1,q_part1_036,Do you enjoy shopping?,i do enjoy shopping but i'm quite selective... i prefer quality over quantity... and i usually shop for specific items rather than just browsing... online shopping has made it much more convenient,20,7.0,7.0,7.5,7.0,7.5,i do enjoy shopping but i'm quite selective... i prefer quality over quantity... and i usually shop for specific items rather than just browsing... online shopping has made it much more convenient,synthetic,ok
ans_048,sess_024,550e8400-e29b-41d4-a716-446655440021,1,q_part1_037,What's your favorite way to communicate?,i prefer face-to-face communication when possible... it's more personal and you can read body language... but for convenience i use messaging apps... video calls are a good middle ground,22,8.0,8.5,8.0,7.5,7.5,i prefer face-to-face communication when possible... it's more personal and you can read body language... but for convenience i use messaging apps... video calls are a good middle ground,synthetic,ok
ans_049,sess_025,550e8400-e29b-41d4-a716-446655440022,1,q_part1_038,Do you live in a house or apartment?,i live... in apartment... on... third floor... is... small... but... comfortable... has... two rooms... kitchen... bathroom,15,5.5,5.5,6.0,5.0,5.5,i live... in apartment... on... third floor... is... small... but... comfortable... has... two rooms... kitchen... bathroom,synthetic,ok
ans_050,sess_025,550e8400-e29b-41d4-a716-446655440022,1,q_part1_039,What do you usually do in the evenings?,evenings... i... watch tv... or... read... sometimes... cook dinner... and... talk with family... on phone,13,6.5,6.0,7.0,6.5,6.0,evenings... i... watch tv... or... read... sometimes... cook dinner... and... talk with family... on phone,synthetic,ok
ans_051,sess_026,550e8400-e29b-41d4-a716-446655440023,1,q_part1_040,What is your full name?,my name... is... anna... anna smirnova... that's... my name,8,4.5,4.0,4.0,4.0,4.5,my name... is... anna... anna smirnova... that's... my name,synthetic,ok
ans_052,sess_026,550e8400-e29b-41d4-a716-446655440023,1,q_part1_041,Where are you from?,i from... kazan... is... city... in russia... is... nice city... many... students,10,4.5,4.5,4.5,4.0,4.5,i from... kazan... is... city... in russia... is... nice city... many... students,synthetic,ok
ans_053,sess_027,550e8400-e29b-41d4-a716-446655440024,1,q_part1_042,Do you enjoy cooking?,yes i really enjoy cooking... it's creative and relaxing... i like experimenting with new recipes... especially from different cuisines... italian and asian are my favorites... and i find it's a great way to unwind after work,25,7.5,8.0,8.0,7.5,7.5,yes i really enjoy cooking... it's creative and relaxing... i like experimenting with new recipes... especially from different cuisines... italian and asian are my favorites... and i find it's a great way to unwind after work,synthetic,ok
ans_054,sess_027,550e8400-e29b-41d4-a716-446655440024,1,q_part1_043,What's your favorite type of cuisine?,i'm quite adventurous with food... i love trying new cuisines... but if i had to choose... probably mediterranean... the flavors are fresh and healthy... and i also have a soft spot for japanese food... sushi ramen... it's all amazing,27,7.5,8.0,8.0,7.0,7.0,i'm quite adventurous with food... i love trying new cuisines... but if i had to choose... probably mediterranean... the flavors are fresh and healthy... and i also have a soft spot for japanese food... sushi ramen... it's all amazing,synthetic,ok
ans_055,sess_028,550e8400-e29b-41d4-a716-446655440025,1,q_part1_044,How do you usually spend your free time?,free time... i... play... computer games... or... watch... youtube... sometimes... go... to cinema... with friends,14,5.0,5.0,5.0,5.0,4.5,free time... i... play... computer games... or... watch... youtube... sometimes... go... to cinema... with friends,synthetic,ok
ans_056,sess_028,550e8400-e29b-41d4-a716-446655440025,1,q_part1_045,Do you like sports?,yes... i like... football... and... basketball... i play... sometimes... with friends... on weekends... it's... fun,13,5.0,4.5,4.5,5.0,4.5,yes... i like... football... and... basketball... i play... sometimes... with friends... on weekends... it's... fun,synthetic,ok
ans_057,sess_029,550e8400-e29b-41d4-a716-446655440026,1,q_part1_046,What do you do for a living?,i work as a software developer... i've been doing this for about three years now... it's challenging but i enjoy problem-solving... and the tech industry is always evolving... which keeps things interesting,23,6.5,6.5,7.0,6.5,6.0,i work as a software developer... i've been doing this for about three years now... it's challenging but i enjoy problem-solving... and the tech industry is always evolving... which keeps things interesting,synthetic,ok
ans_058,sess_029,550e8400-e29b-41d4-a716-446655440026,1,q_part1_047,Do you enjoy your work?,yes i do... um... it's not always easy... but... i like the creative aspect... and working with a team... the projects are interesting... and i'm learning new things all the time,20,6.5,6.0,7.0,6.0,6.5,yes i do... um... it's not always easy... but... i like the creative aspect... and working with a team... the projects are interesting... and i'm learning new things all the time,synthetic,ok
ans_059,sess_030,550e8400-e29b-41d4-a716-446655440027,1,q_part1_048,What's your favorite way to relax?,i have several ways... um... reading is probably my favorite... it helps me escape... also i enjoy yoga... it's very calming... and sometimes just listening to music... depends on my mood,22,6.5,6.5,6.0,6.5,6.5,i have several ways... um... reading is probably my favorite... it helps me escape... also i enjoy yoga... it's very calming... and sometimes just listening to music... depends on my mood,synthetic,ok
ans_060,sess_030,550e8400-e29b-41d4-a716-446655440027,1,q_part1_049,Do you prefer staying home or going out?,that depends... i like both actually... staying home is cozy... but going out with friends is fun... i think balance is important... so i do both depending on how i feel,21,6.5,6.5,6.5,7.0,6.5,that depends... i like both actually... staying home is cozy... but going out with friends is fun... i think balance is important... so i do both depending on how i feel,synthetic,ok
ans_061,sess_031,550e8400-e29b-41d4-a716-446655440028,1,q_part1_050,What kind of music do you listen to?,i have quite eclectic taste... i listen to everything from classical to electronic... but my favorites are probably jazz and indie rock... i find that different genres suit different moods... and i'm always discovering new artists,26,8.0,8.0,8.0,8.0,8.5,i have quite eclectic taste... i listen to everything from classical to electronic... but my favorites are probably jazz and indie rock... i find that different genres suit different moods... and i'm always discovering new artists,synthetic,ok
ans_062,sess_031,550e8400-e29b-41d4-a716-446655440028,1,q_part1_051,Do you play any musical instruments?,unfortunately no... but i've always wanted to learn piano... i think music is such a beautiful form of expression... maybe one day i'll find the time to take lessons... it's definitely on my bucket list,24,8.0,8.5,8.0,8.0,8.5,unfortunately no... but i've always wanted to learn piano... i think music is such a beautiful form of expression... maybe one day i'll find the time to take lessons... it's definitely on my bucket list,synthetic,ok
ans_063,sess_032,550e8400-e29b-41d4-a716-446655440029,1,q_part1_052,Where do you live?,i live... in... small town... near... big city... is... quiet... and... peaceful... i like... it,12,4.5,4.5,5.0,4.5,4.0,i live... in... small town... near... big city... is... quiet... and... peaceful... i like... it,synthetic,ok
ans_064,sess_032,550e8400-e29b-41d4-a716-446655440029,1,q_part1_053,What do you like about where you live?,i like... because... is... safe... and... clean... people... are... friendly... and... there is... good... public transport,16,6.0,6.0,6.0,6.0,6.0,i like... because... is... safe... and... clean... people... are... friendly... and... there is... good... public transport,synthetic,ok
ans_065,sess_033,550e8400-e29b-41d4-a716-446655440008,1,q_part1_054,Do you work or study?,i study... still... university... second year... economics... is... difficult... many... exams,11,4.0,3.5,4.0,4.0,4.0,i study... still... university... second year... economics... is... difficult... many... exams,synthetic,garbage
ans_066,sess_033,550e8400-e29b-41d4-a716-446655440008,1,q_part1_055,What do you like to do in your free time?,free time... i... watch... movies... play... games... sometimes... go... walk... with friends,12,4.5,4.5,5.0,4.5,4.5,free time... i... watch... movies... play... games... sometimes... go... walk... with friends,synthetic,ok
